Mat_Levy_Flights  Cell_Levy_Flights  Mutate_Mats  Partial_Inversion  A_Operator  Study_Operator  Three_opt  Discard
       0,0;               0,0;            0,0;             0,0;             0,0;            0,0;          0,0;       0,0;

      12,29;              10,26;            2,3;             1,6;             0,3;            1,4;          3,7;       9,13;
      19,55;              19,51;            2,6;             1,12;             2,6;            1,7;          4,13;      15,25;
      28,81;              27,79;            3,10;             1,18;             3,9;            1,10;          6,19;      21,37;
      36,106;              34,105;            3,13;             1,24;             3,12;            1,13;          6,25;      27,49;
      40,131;              43,131;            4,16;             1,30;             5,15;            2,16;          6,31;      35,61;
      45,156;              51,157;            5,19;             3,37;             5,18;            3,19;          6,37;      42,73;
      53,182;              57,182;            6,22;             3,43;             5,21;            4,23;          6,43;      50,86;
      62,209;              66,210;            8,25;             5,49;             5,24;            6,26;          8,49;      58,98;
      66,234;              73,236;            9,29;             5,55;             6,27;            6,29;         10,55;      65,110;
      69,259;              82,262;           10,33;             7,61;             6,30;            8,32;         14,61;      72,123;
      71,284;              86,288;           12,36;             7,67;             6,33;            9,35;         15,67;      79,135;
      74,309;              95,313;           12,39;             8,74;             6,36;            9,38;         15,73;      88,147;
      80,335;             100,338;           13,43;             8,80;             6,39;           10,41;         16,79;      96,159;
      85,361;             109,363;           14,47;             8,86;             6,42;           10,44;         16,85;     103,171;
      91,387;             116,390;           15,50;             9,92;             7,45;           12,47;         16,91;     112,183;
      97,412;             120,416;           16,54;            10,98;             8,48;           13,51;         17,97;     123,195;
     102,438;             130,442;           18,57;            10,104;             8,51;           13,54;         20,103;     132,207;
     105,464;             134,468;           21,62;            11,110;             8,54;           13,57;         20,109;     139,219;
     112,490;             137,494;           22,66;            13,116;             8,57;           14,60;         20,115;     147,231;
     117,517;             145,520;           22,69;            13,122;             8,60;           15,63;         21,121;     155,243;
     123,543;             147,545;           24,72;            14,128;             8,63;           17,67;         21,127;     163,255;
     129,568;             154,570;           24,75;            16,134;             8,66;           17,70;         23,133;     174,267;
     132,594;             161,595;           26,79;            17,140;             8,69;           17,73;         23,139;     182,279;
     138,619;             166,620;           28,83;            19,147;             8,72;           18,76;         25,145;     190,292;
     142,645;             173,648;           30,87;            19,153;             8,75;           19,79;         27,151;     199,305;
     145,670;             179,673;           32,92;            22,159;             8,78;           20,82;         27,157;     207,317;
     152,696;             185,699;           33,95;            24,165;             8,81;           21,85;         27,163;     214,329;
     160,722;             195,727;           34,98;            25,171;             8,84;           21,88;         28,169;     221,341;
     167,747;             199,752;           34,101;            26,177;             8,87;           21,91;         30,175;     231,354;
     173,773;             210,780;           35,104;            27,184;             9,90;           23,94;         33,181;     238,366;
     180,801;             215,805;           36,108;            28,190;             9,93;           25,97;         34,187;     247,378;
     186,827;             226,831;           37,112;            29,196;             9,96;           26,100;         35,193;     255,390;
     192,852;             234,857;           38,115;            30,202;             9,99;           26,103;         36,199;     264,402;
     195,877;             239,882;           39,119;            31,208;             9,102;           28,106;         38,205;     273,414;
     200,902;             245,907;           41,124;            31,214;             9,105;           29,109;         39,211;     282,426;
     207,929;             249,932;           42,128;            32,221;             9,108;           29,112;         40,217;     290,438;
     212,954;             257,959;           42,131;            34,227;             9,111;           29,115;         42,223;     297,450;
     219,980;             264,985;           43,134;            35,233;             9,114;           29,118;         45,229;     305,462;
     224,1006;             270,1011;           43,137;            37,239;             9,117;           29,121;         46,235;     314,474;
       7,27;              10,25;            1,4;             0,6;             1,4;            0,4;          3,6;       9,12;
      11,52;              18,50;            2,8;             1,12;             2,8;            2,10;          6,13;      16,24;
      15,77;              27,75;            4,13;             2,18;             3,12;            3,15;          8,20;      22,36;
      18,104;              35,101;            4,17;             5,25;             5,16;            4,19;          9,26;      28,48;
      23,129;              48,127;            6,22;             7,31;             5,20;            5,23;         10,32;      36,60;
      28,154;              56,152;            7,27;             7,37;             6,24;            5,27;         12,38;      43,73;
      33,179;              61,177;            8,31;             8,43;             6,28;            7,31;         13,44;      50,85;
      39,206;              68,202;            9,36;             9,49;             6,32;            8,35;         14,50;      56,97;
      42,231;              73,228;            9,40;             9,55;             6,36;            9,39;         15,56;      63,110;
      51,257;              79,253;           11,44;            11,61;             6,40;            9,43;         16,62;      70,122;
      59,286;              92,279;           11,48;            12,67;             6,44;            9,47;         16,68;      76,134;
      67,313;             101,305;           12,52;            12,73;             6,48;           11,51;         17,74;      84,146;
      73,339;             111,330;           13,57;            13,79;             8,52;           11,55;         18,80;      91,158;
      77,365;             118,355;           15,63;            14,85;             9,56;           13,59;         19,86;      98,170;
